total_spending_usd,artist_id,artist_name,n_collection,collected_artists,page_link,twitter
56717.293590999994,bnanna,@bnanna,14,exoticcancer;arc;paulsnijder;momarkmoproblem;oscarpettersson;arc;happylittlepixels;happylittlepixels;whynne;markrenders;evapapamargariti;erik_ande_motion;happylittlepixels;jesperish,https://foundation.app/bnanna,
53907.48488300001,lupape,lupape,2,nachoakanacho;sailey,https://foundation.app/lupape,https://twitter.com/lupape
53177.647507,bob_dub,@bob_dub,15,allo;daniellint;nicolassassoon;musketon;lucybenson;ajd;musketon;davemorin;tfmstyle;angelarium;vo;gunnarmagnus;dabinksy;davemorin;gregcooperrr,https://foundation.app/bob_dub,
52930.952396000015,mantaxr,MantaXR,0,,https://foundation.app/mantaxr,
52503.4774,Billelis,Billelis,37,valokos;neuforiadesign;saschapabst;andygellenberg;benskoppel;lucabis;andygellenberg;andygellenberg;hydro74;shyukin;thisisreal;_joeypearson;v0da;jonathanplesel;adrielnunes;briscoepark;lovetherobot;nicologranese;hydro74;erik_ande_motion;rubenireland;trappistm0nk;alchem;ram3dda;random4uk;gonzzzalo;scartoccio;blaze;raphpazou;mathijs;blaze;annalomax;agovik;rvre;alpie;robertcoker;theartofsaul,https://foundation.app/Billelis,https://twitter.com/billelis
52469.260464000006,FeelFeltFound,@FeelFeltFound,49,marcelocantu;handeleugene;flumezawada;flumezawada;flumezawada;_jgallardo_;chubby;richenks;markmalta;dechambo;markmalta;luke_motion;loto;bumpy;mutanthands;paulsnijder;motionetic;jatodaro;cryptoblue;jatodaro;jatodaro;malikmckoy;gabrieldeanroberts;cryptoblue;ryhawthorne;mikniv;rogerkilimanjaro;peterjohnkearney;bumpy;0xe886;cryptoblue;peterjohnkearney;lee_souder;samueljeromemasonic;jformento;lee_souder;leeruby;malikmckoy;paulsnijder;lee_souder;miko_del_rosario;misterk;bbb3viz;strss;0xe886;bbb3viz;rogerkilimanjaro;jawn;ninaad,https://foundation.app/FeelFeltFound,https://twitter.com/JfellzZ
52286.463432000004,mikegee,mikegee,22,ollorens;kaneda99;visualizevalue;sevi;simoneone;mcmintea;hello_im_flo;allo;etherbrian;jw;signalnoise;etherbrian;jmd;stewartsc;jw;mbsjq;ryanputnam;ryanputnam;jw;adam;gold;jstn,https://foundation.app/mikegee,https://twitter.com/mikegee
52004.861262,0xe886,0xe886,10,elliepritts;zawada;zawada;markweaver;zawada;pinot;zawada;nateboyce;kimlaughton;andyrolfes,https://foundation.app/0xe886,https://twitter.com/0xe886
51628.768449999996,CryptoJack2,CryptoJack,23,mzkvisuals;mzkvisuals;adhemas;jscheier;brisseaux;brisseaux;darekzabrocki;stevejungart;nopattern;ryanchurch;velvetspectrum;jerico;velvetspectrum;nolbert;madebykaran;hejz;archannair;nolbert;diftype;diftype;janurschel;janurschel;hejz,https://foundation.app/CryptoJack2,
50466.5448,mjcrypto,matt,1,vinne,https://foundation.app/mjcrypto,
