token_id,bidder_id,creator,bidding_amt,bid_date
31.0,0x89d349cac2fcda7c9e87e9cd261b1828304df3e0,0xd3f248c1004cab5d51eb50b05829b1614a277c8a,0.69,1612377756
32.0,0xb630abd9a5367763b7cba316e870c4a54064cc9f,0x88d01d4354da0d65c38b0196c4400525a5eebe17,1.11,1612378413
33.0,0x789146f9bcf06008d18b785912410f93b26c2340,0x9f3e35ca454c7585bdc5b54a3d035a972e33feeb,2.53,1612464662
33.0,0xb06ece03eb2048fa31f32c3746e8ce13e8e2b2c9,0x9f3e35ca454c7585bdc5b54a3d035a972e33feeb,1,1612462340
33.0,0xeb4bd5231274aa4c2b97a4fa06bad9ecfcdad5e0,0x9f3e35ca454c7585bdc5b54a3d035a972e33feeb,2.3,1612464546
33.0,0xb06ece03eb2048fa31f32c3746e8ce13e8e2b2c9,0x9f3e35ca454c7585bdc5b54a3d035a972e33feeb,1.65,1612463642
33.0,0xb06ece03eb2048fa31f32c3746e8ce13e8e2b2c9,0x9f3e35ca454c7585bdc5b54a3d035a972e33feeb,4.0997,1612466247
33.0,0xeb4bd5231274aa4c2b97a4fa06bad9ecfcdad5e0,0x9f3e35ca454c7585bdc5b54a3d035a972e33feeb,1.5,1612463131
33.0,0xeb4bd5231274aa4c2b97a4fa06bad9ecfcdad5e0,0x9f3e35ca454c7585bdc5b54a3d035a972e33feeb,0.4,1612376235
33.0,0x9079a0a7e0ebee7650c8c9da2b6946e5a5b07c19,0x9f3e35ca454c7585bdc5b54a3d035a972e33feeb,0.8,1612405614
33.0,0x789146f9bcf06008d18b785912410f93b26c2340,0x9f3e35ca454c7585bdc5b54a3d035a972e33feeb,3.727,1612465631
33.0,0x1f2fc9ee909929aeeb7438de22c426b6a6874413,0x9f3e35ca454c7585bdc5b54a3d035a972e33feeb,0.4401,1612376598
33.0,0xb06ece03eb2048fa31f32c3746e8ce13e8e2b2c9,0x9f3e35ca454c7585bdc5b54a3d035a972e33feeb,2.8,1612464893
33.0,0xb06ece03eb2048fa31f32c3746e8ce13e8e2b2c9,0x9f3e35ca454c7585bdc5b54a3d035a972e33feeb,1.25,1612462891
33.0,0x789146f9bcf06008d18b785912410f93b26c2340,0x9f3e35ca454c7585bdc5b54a3d035a972e33feeb,3.08,1612464980
33.0,0xeb4bd5231274aa4c2b97a4fa06bad9ecfcdad5e0,0x9f3e35ca454c7585bdc5b54a3d035a972e33feeb,0.8801,1612459225
